drug_name,form,indication,prescription_raw
一捻金,散剂,消食导滞，祛痰通便。用于脾胃不和、痰食阻滞所致的积滞，症见停食停乳、腹胀便秘、痰盛喘咳。,大黄100g炒牵牛子200g槟榔100g人参100g朱砂30g
一捻金胶囊,胶囊剂,消食导滞，祛痰通便。用于脾胃不和、痰食阻滞所致的积滞，症见停食停乳、腹胀便秘、痰盛喘咳。,大黄56.6g炒牵牛子113.2g槟榔56.6g人参56.6g朱砂17g
一清胶囊,胶囊剂,清热泻火解毒，化瘀凉血止血。用于火毒血热所致的身热烦躁、目赤口疮、咽喉牙龈肿痛、大便秘结、吐血、咯血、衄血、痔血；咽炎、扁桃体炎、牙龈炎见上述证候者。,黄连660g大黄2000g黄芩1000g
一清颗粒,颗粒剂,清热泻火解毒，化瘀凉血止血。用于火毒血热所致的身热烦躁、目赤口疮、咽喉牙龈肿痛、大便秘结、吐血、咯血、衄血、痔血；咽炎、扁桃体炎、牙龈炎见上述证候者。,黄连165g大黄500g黄芩250g
乙肝宁颗粒,颗粒剂,补气健脾，活血化瘀，清热解毒。用于慢性肝炎属脾气虚弱、血瘀阻络、湿热毒蕴证，症见胁痛、腹胀、乏力、尿黄；对急性肝炎属上述证候者亦有一定疗效。,黄芪606g白花蛇舌草408g茵陈606g金钱草408g党参490g蒲公英408g制何首乌490g牡丹皮408g丹参490g茯苓408g白芍408g白术408g川楝子408g
乙肝养阴活血颗粒,颗粒剂,滋补肝肾，活血化瘀。用于肝肾阴虚型慢性肝炎，症见面色晦暗、头晕耳鸣、五心烦热、腰腿酸软、齿鼻衄血、胁下痞块、赤缕红斑、舌质红少苔、脉沉弦、细涩。,地黄66.67g北沙参83.33g麦冬66.67g酒女贞子83.33g五味子55.56g黄芪111.11g当归66.67g制何首乌83.33g白芍83.33g阿胶珠83.33g泽兰83.33g牡蛎111.11g橘红55.56g丹参111.11g川楝子55.56g黄精（蒸）83.33g
乙肝益气解郁颗粒,颗粒剂,益气化湿，疏肝解郁。用于肝郁脾虚型慢性肝炎，症见胁痛腹胀、痞满纳呆、身倦乏力、大便溏薄、舌质淡暗、舌体肿或有齿痕、舌苔薄白或白腻、脉沉弦或沉缓。,柴胡（醋炙）62.5g枳壳62.5g白芍93.75g橘叶62.5g丹参93.75g黄芪125g党参75g桂枝31.25g茯苓93.75g刺五加93.75g瓜蒌93.75g法半夏75g黄连31.25g决明子93.75g山楂93.75g五味子62.5g
二十七味定坤丸,丸剂,补气养血，舒郁调经，用于冲任虚损，气血两亏，身体瘦弱，月经不调，经期紊乱，行经腹痛，崩漏不止，腰酸腿软。,西洋参60g白术18g茯苓30g熟地黄30g当归24g白芍18g川芎18g黄芪24g阿胶18g醋五味子18g鹿茸（去毛）30g肉桂12g艾叶（炒炭）60g杜仲（炒炭）24g续断18g佛手12g陈皮18g姜厚朴6g柴胡18g醋香附12g醋延胡索18g牡丹皮18g琥珀12g醋龟甲18g地黄30g麦冬18g黄芩18g
二十五味松石丸,丸剂,清热解毒，疏肝利胆，化瘀。用于肝郁气滞，血瘀，肝中毒，肝痛，肝硬化，肝渗水及各种急、慢性肝炎和胆囊炎。,松石50g珍珠10g珊瑚40g朱砂20g诃子肉50g铁屑（诃子制）100g余甘子50g五灵脂膏40g檀香40g降香40g木香马兜铃50g鸭嘴花50g牛黄5g木香60g绿绒蒿50g船形乌头40g肉豆蔻20g丁香25g伞梗虎耳草50g毛诃子（去核）5g天竺黄35g西红花5g木棉花35g麝香0.25g石灰华35g
二十五味珊瑚丸,丸剂,开窍，通络，止痛。用于“白脉病”，神志不清，身体麻木，头昏目眩，脑部疼痛，血压不调，头痛，癫痫及各种神经性疼痛。,珊瑚75g珍珠15g青金石20g珍珠母50g诃子100g木香60g红花80g丁香35g沉香70g朱砂30g龙骨40g炉甘石25g脑石25g磁石25g禹粮土25g芝麻40g葫芦30g紫菀花45g獐牙菜80g藏菖蒲50g榜那45g打箭菊75g甘草75g西红花25g人工麝香2g
