drug_name,herb_list,indication_text,form,num_herbs,has_volatile,has_toxic,has_mineral,has_precious,volatile_ratio,toxic_ratio,mineral_ratio,precious_ratio,known_ratio,nature_寒_ratio,nature_凉_ratio,nature_平_ratio,nature_温_ratio,nature_热_ratio,taste_辛_ratio,taste_甘_ratio,taste_酸_ratio,taste_苦_ratio,taste_咸_ratio,taste_淡_ratio,taste_涩_ratio,meridian_心_ratio,meridian_肝_ratio,meridian_脾_ratio,meridian_肺_ratio,meridian_肾_ratio,meridian_胃_ratio,meridian_胆_ratio,meridian_小肠_ratio,meridian_大肠_ratio,meridian_膀胱_ratio,meridian_三焦_ratio,meridian_心包_ratio,texture_hard_ratio,texture_starchy_ratio,texture_fibrous_ratio,texture_mucilaginous_ratio,texture_oily_ratio,texture_gelatinous_ratio,urgency,is_topical,syndrome_blood_stasis,syndrome_qi_deficiency,syndrome_blood_deficiency,syndrome_yin_deficiency,syndrome_yang_deficiency,syndrome_damp_heat,syndrome_wind,syndrome_phlegm,syndrome_fire_toxin,syndrome_qi_stagnation,disease_respiratory,disease_digestive,disease_cardiovascular,disease_gynecology,disease_rheumatology,disease_dermatology,disease_pediatrics,disease_urology,total_weight,avg_dose,max_dose,min_dose,dose_std,dose_range,max_min_ratio,log_total_weight,kg_herb_form_丸剂,kg_herb_form_片剂,kg_herb_form_胶囊剂,kg_herb_form_颗粒剂,kg_herb_form_口服液,kg_herb_form_散剂,kg_herb_form_膏剂,kg_herb_form_糖浆剂,kg_herb_form_注射剂,kg_herb_form_酒剂,kg_herb_form_酊剂,kg_herb_form_栓剂,kg_herb_form_茶剂,kg_herb_form_丹剂,kg_herb_form_搽剂,kg_herb_form_洗剂,kg_herb_form_气雾剂,kg_herb_form_露剂,kg_herb_form_膜剂,kg_ind_form_丸剂,kg_ind_form_片剂,kg_ind_form_胶囊剂,kg_ind_form_颗粒剂,kg_ind_form_口服液,kg_ind_form_散剂,kg_ind_form_膏剂,kg_ind_form_糖浆剂,kg_ind_form_注射剂,kg_ind_form_酒剂,kg_ind_form_酊剂,kg_ind_form_栓剂,kg_ind_form_茶剂,kg_ind_form_丹剂,kg_ind_form_搽剂,kg_ind_form_洗剂,kg_ind_form_气雾剂,kg_ind_form_露剂,kg_ind_form_膜剂,kg_herb_form_max,kg_herb_form_entropy,kg_ind_form_max
乙肝扶正胶囊,何首乌、虎杖、贯众、肉桂、明矾、石榴皮、当归、丹参、沙苑子、人参、麻黄,补肝肾，益气活血。用于乙型肝炎，辨证属于肝肾两虚证候，临床表现为：肝区隐痛不适，全身乏力，腰膝酸软，气短心悸，自汗，头晕，纳少，舌淡，脉弱,胶囊剂,11,1,0,1,1,0.2727272727272727,0.0,0.0909090909090909,0.0909090909090909,0.9090909090909092,0.0909090909090909,0.0,0.0,0.3636363636363636,0.0,0.2727272727272727,0.4545454545454545,0.1818181818181818,0.1818181818181818,0.0,0.0,0.2727272727272727,0.4545454545454545,0.6363636363636364,0.3636363636363636,0.3636363636363636,0.3636363636363636,0.0,0.0909090909090909,0.0,0.1818181818181818,0.0909090909090909,0.0,0.0,0.0,0.0909090909090909,0.1818181818181818,0.0,0.0,0.0,unspecified,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,162.0,14.727272727272728,50.0,5.0,12.381003844533248,45.0,10.0,5.093750200806762,0.2299900868616751,0.1584228996238273,0.2133882870368219,0.1585179373254197,0.0602071030684797,0.0360953839028173,0.0291685281898805,0.0024135611324223,0.0165945165945165,0.0024135611324223,0.0142845588575125,0.0,0.0113636363636363,0.0151515151515151,0.0514598835328372,0.0,0.0005285412262156,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2299900868616751,2.072490178737957,0.6666666666666666
乙肝解毒胶囊,黄柏、草河车、黄芩、大黄、胡黄连、土茯苓、黑矾、贯众,清热解毒，疏肝利胆。用于乙型肝炎，辨证属于肝胆湿热内蕴者。临床表现为：肝区热痛，全身乏力，口苦咽干，头晕耳鸣或面红耳赤，心烦易怒，大便干结，小便少而黄，舌苔黄腻，脉滑数或弦数,胶囊剂,8,0,0,0,0,0.0,0.0,0.0,0.0,0.625,0.5,0.0,0.125,0.0,0.0,0.0,0.125,0.0,0.5,0.0,0.125,0.0,0.0,0.375,0.25,0.125,0.125,0.375,0.125,0.125,0.375,0.125,0.0,0.125,0.0,0.125,0.125,0.0,0.0,0.0,unspecified,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,125.0,15.625,50.0,10.0,13.095204274848102,40.0,5.0,4.836281906951478,0.2123274505141097,0.154416195776902,0.4114925648487868,0.066351788626172,0.0283844612039679,0.0226962024958101,0.0367802416919569,0.0090718470202775,0.0005605381165919,0.0,0.004587542087542,0.0084997961679576,0.015625,0.0208333333333333,0.0078125,0.0005605381165919,0.0,0.0,0.0,0.0,0.25,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4114925648487868,1.771199700837555,0.75
二母宁嗽丸,川贝母、知母、石膏、栀子(炒)、黄芩、桑白皮(蜜炙)、茯苓、瓜萎子(炒)、陈皮、枳实(麸炒)、甘草(蜜炙)、五味子(蒸),清肺润燥，化痰止咳。用于燥热蕴肺，痰黄而粘不易咳出，胸闷气促，久咳不止，声哑喉痛,丸剂,12,1,0,1,0,0.1666666666666666,0.0,0.0833333333333333,0.0,0.9166666666666666,0.3333333333333333,0.0,0.1666666666666666,0.1666666666666666,0.0,0.25,0.5833333333333334,0.1666666666666666,0.5,0.0,0.0833333333333333,0.0,0.4166666666666667,0.0,0.4166666666666667,0.8333333333333334,0.25,0.3333333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0,0.0833333333333333,0.0,0.0833333333333333,0.1666666666666666,0.0833333333333333,0.0833333333333333,0.0,0.0,chronic,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1920.0,160.0,300.0,30.0,72.54309064273454,270.0,10.0,7.560601162768557,0.56837987113293,0.1497953261746778,0.0748620653366359,0.0829880684159974,0.0613405038036312,0.0156672911515287,0.0165352812529674,0.0187702453838357,0.0003736920777279,0.0051145175067588,0.0012776575276575,0.0011210762331838,0.001207729468599,0.0,0.0,0.0003736920777279,0.0,0.0021929824561403,0.0,0.2258064516129032,0.2258064516129032,0.032258064516129,0.1935483870967742,0.032258064516129,0.0,0.064516129032258,0.1290322580645161,0.0,0.0,0.0,0.032258064516129,0.0,0.064516129032258,0.0,0.0,0.0,0.0,0.0,0.56837987113293,1.455452247064276,0.2258064516129032
二益丸,肉豆蔻(煨)、山奈、砂仁(盐水炒)、海螵蛸、附子(黑顺片)、橘红、蛇床子(盐水炒)、木香、甘草(蜜制)、白芷、龙骨(煅)、肉桂、吴茱萸(盐水炒)、当归(酒浸)、花椒(微炒)、丁香、细辛、母丁香、檀香、豆蔻、枯矾、朱砂,调经止带，温暖子宫。用于经脉不调，行经腹痛，瘀血痨症，下元虚寒，腰膝酸痛，赤白带下,丸剂,22,1,1,1,1,0.5909090909090909,0.0454545454545454,0.1363636363636363,0.0454545454545454,1.0,0.0454545454545454,0.0,0.0909090909090909,0.6818181818181818,0.0454545454545454,0.7727272727272727,0.2727272727272727,0.0454545454545454,0.1818181818181818,0.0454545454545454,0.0,0.1363636363636363,0.3636363636363636,0.2272727272727272,0.7272727272727273,0.4090909090909091,0.5,0.5454545454545454,0.0454545454545454,0.0,0.1818181818181818,0.0,0.0454545454545454,0.0,0.0909090909090909,0.0454545454545454,0.0454545454545454,0.0,0.0,0.0,unspecified,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2700.0,122.72727272727272,500.0,50.0,95.02065891075851,450.0,10.0,7.901377353792616,0.5933554309498271,0.0960884037677381,0.0700577486580244,0.04989315585349,0.0140652406085114,0.0728775159228516,0.0557653533636657,0.0010532402626905,0.0,0.0120622694338589,0.0059100349899986,0.0097902097902097,0.0117421670010804,0.0042540792540792,0.0030851501439736,0.0,0.0,0.0,0.0,0.4929577464788732,0.1408450704225352,0.0704225352112676,0.0422535211267605,0.0422535211267605,0.0,0.0985915492957746,0.0140845070422535,0.0,0.0704225352112676,0.0,0.0,0.0,0.028169014084507,0.0,0.0,0.0,0.0,0.0,0.5933554309498271,1.5118010955360948,0.4929577464788732
十二温经丸,吴茱萸、当归、川芎(酒制)、白芍、阿胶珠、肉桂、牡丹皮、生姜、党参、半夏(制)、麦冬、甘草(蜜炙),温经散寒，养血祛瘀。用于冲任虚寒，瘀血阻滞，月经不调，或先或后、或多或少，小腹冷痛以及宫寒不孕,丸剂,12,1,0,0,0,0.3333333333333333,0.0,0.0,0.0,0.9166666666666666,0.0,0.0,0.1666666666666666,0.25,0.0833333333333333,0.5833333333333334,0.4166666666666667,0.0833333333333333,0.25,0.0,0.0,0.0,0.4166666666666667,0.5,0.6666666666666666,0.4166666666666667,0.25,0.4166666666666667,0.0833333333333333,0.0,0.0,0.0,0.0,0.0833333333333333,0.0,0.1666666666666666,0.0833333333333333,0.0833333333333333,0.0,0.0,unspecified,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,795.0,66.25,120.0,15.0,24.076700355322775,105.0,8.0,6.679599185844383,0.4313539538701698,0.1329595143789821,0.1041123028160466,0.1479604786554408,0.0639939087652636,0.0354205373836117,0.0399207510315021,0.0114304188337135,0.0,0.0095010397064123,0.0026775122860532,0.0,0.0146901709401709,0.0021367521367521,0.0038426591958809,0.0,0.0,0.0,0.0,0.5,0.0454545454545454,0.1363636363636363,0.0,0.1818181818181818,0.0,0.0909090909090909,0.0,0.0,0.0,0.0454545454545454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4313539538701698,1.7797605833305044,0.5
十珍香附丸,香附(醋炒)、艾叶(炭)、党参、甘草(蜜炙)、当归、川芎、白芍(炒)、熟地黄、黄芪(蜜炙)、白术(麸炒),补气养血，和营调经。用于血虚气滞，月经不调,丸剂,10,1,0,0,0,0.3,0.0,0.0,0.0,1.0,0.0,0.0,0.3,0.4,0.0,0.4,0.6,0.1,0.3,0.0,0.0,0.0,0.2,0.6,0.8,0.3,0.2,0.2,0.1,0.0,0.0,0.0,0.1,0.1,0.0,0.2,0.1,0.1,0.0,0.0,unspecified,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,665.0,66.5,215.0,20.0,51.48057886232439,195.0,10.75,6.501289670540389,0.5432390874300015,0.1226847583545062,0.0749895283058416,0.0703282107802762,0.0648831032324699,0.0102164885721778,0.059304668962758,0.0109119877295651,0.0,0.0263986115968433,0.0016892052194543,0.0,0.0004444444444444,0.0141095890410958,0.0008003163305654,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5432390874300015,1.5869614237362777,1.0
丁蔻理中丸,丁香、豆蔻、党参、白术(炒)、干姜、甘草(蜜炙),温中散寒，补脾健胃。用于脾胃虚寒，脘腹挛痛，呕吐泄泻，消化不良,丸剂,6,1,0,0,0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.3333333333333333,0.5,0.1666666666666666,0.5,0.5,0.0,0.1666666666666666,0.0,0.0,0.0,0.3333333333333333,0.0,1.0,0.8333333333333334,0.3333333333333333,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1666666666666666,0.0,0.0,0.0,0.0,unspecified,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1400.0,233.33333333333331,300.0,100.0,94.28090415820634,200.0,3.0,7.244941546337007,0.4621615874363645,0.1097804104266673,0.0943670598418463,0.0899250264125965,0.0509992235333053,0.0789136130260711,0.0617241229557848,0.0166793956288743,0.0,0.0170555364621122,0.0111111111111111,0.0,0.0023809523809523,0.0,0.0049019607843137,0.0,0.0,0.0,0.0,0.4509803921568627,0.1568627450980392,0.0196078431372549,0.0784313725490196,0.0588235294117647,0.0392156862745098,0.0392156862745098,0.0,0.0,0.0,0.0196078431372549,0.0,0.1176470588235294,0.0,0.0,0.0,0.0,0.0196078431372549,0.0,0.4621615874363645,1.7908548142350138,0.4509803921568627
七宝美髯丸,制何首乌、当归、补骨脂（盐水炙）、构杞子、菟丝子、茯苓、牛膝,补肝肾，益精血。用于肝肾两虚，须发早白，牙齿摇动，遗精盗汗，腰酸带下，筋骨痿弱，腰腿酸软，带下清稀,丸剂,7,1,0,0,0,0.1428571428571428,0.0,0.0,0.0,0.8571428571428571,0.0,0.0,0.4285714285714285,0.2857142857142857,0.0,0.4285714285714285,0.7142857142857143,0.1428571428571428,0.4285714285714285,0.0,0.1428571428571428,0.1428571428571428,0.4285714285714285,0.5714285714285714,0.5714285714285714,0.1428571428571428,0.7142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1428571428571428,0.0,0.0,0.0,0.0,unspecified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1216.0,173.71428571428572,512.0,64.0,139.85882094425924,448.0,8.0,7.104144092987527,0.5275329791625225,0.1300936961601446,0.1404601990226872,0.0887005182909197,0.0627390115763732,0.0063931859813913,0.0098165273085031,0.0171327415901117,0.0,0.0105581316466318,0.0032074779948274,0.0,0.0,0.0,0.0033655312658871,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5275329791625225,1.4999881279524017,0.3333333333333333
七味都气丸,五味子(制)、山茱萸(制)、茯苓、牡丹皮、熟地黄、山药、泽泻,补肾纳气，涩精止遗。用于虚不能纳气之喘促，或久咳而咽干气短，遗精盗汗，小便频数,丸剂,7,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.1428571428571428,0.0,0.2857142857142857,0.1428571428571428,0.0,0.1428571428571428,0.7142857142857143,0.2857142857142857,0.1428571428571428,0.0,0.2857142857142857,0.1428571428571428,0.4285714285714285,0.4285714285714285,0.2857142857142857,0.4285714285714285,1.0,0.0,0.0,0.0,0.0,0.1428571428571428,0.0,0.0,0.0,0.2857142857142857,0.0,0.1428571428571428,0.0,0.0,chronic,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1400.0,200.0,400.0,150.0,84.51542547285166,250.0,2.6666666666666665,7.244941546337007,0.4932254760302738,0.1311485832150904,0.1784498701806301,0.0895630009986374,0.0478148755979164,0.0074765224534809,0.0342393931492985,0.0111285569264984,0.0,0.0063868280241375,0.0005668934240362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4932254760302738,1.5227639110769686,0.0
人参固本丸,人参、地黄、熟地黄、山茱萸(酒炙)、山药、泽泻、牡丹皮、茯苓、麦冬、天冬,滋阴益气，固本培元。用于阴虚气弱，虚劳，咳嗽，心悸气短，骨蒸潮热，腰酸耳鸣，遗精盗汗，大便干燥,丸剂,10,0,0,0,1,0.0,0.0,0.0,0.1,1.0,0.3,0.0,0.2,0.0,0.0,0.1,0.7,0.1,0.3,0.0,0.2,0.1,0.5,0.5,0.3,0.5,0.9,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.2,0.0,0.3,0.0,0.0,unspecified,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1575.0,157.5,300.0,75.0,52.5,225.0,4.0,7.362645270417825,0.421975129958443,0.1502845871721166,0.1664314690310625,0.1229817749642802,0.0828561101723657,0.0080504671258873,0.0161473717350946,0.0114664604367842,0.0,0.0044707796168962,0.0003968253968253,0.0,0.0006097560975609,0.0125,0.0012195121951219,0.0,0.0006097560975609,0.0,0.0,0.6153846153846154,0.1538461538461538,0.1538461538461538,0.0,0.0,0.0,0.0,0.0769230769230769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.421975129958443,1.667407929051485,0.6153846153846154
