drug_name,herb_list,indication_text,form,num_herbs,has_volatile,has_toxic,has_mineral,has_precious,volatile_ratio,toxic_ratio,mineral_ratio,precious_ratio,known_ratio,nature_寒_ratio,nature_凉_ratio,nature_平_ratio,nature_温_ratio,nature_热_ratio,taste_辛_ratio,taste_甘_ratio,taste_酸_ratio,taste_苦_ratio,taste_咸_ratio,taste_淡_ratio,taste_涩_ratio,meridian_心_ratio,meridian_肝_ratio,meridian_脾_ratio,meridian_肺_ratio,meridian_肾_ratio,meridian_胃_ratio,meridian_胆_ratio,meridian_小肠_ratio,meridian_大肠_ratio,meridian_膀胱_ratio,meridian_三焦_ratio,meridian_心包_ratio,texture_hard_ratio,texture_starchy_ratio,texture_fibrous_ratio,texture_mucilaginous_ratio,texture_oily_ratio,texture_gelatinous_ratio,urgency,is_topical,syndrome_blood_stasis,syndrome_qi_deficiency,syndrome_blood_deficiency,syndrome_yin_deficiency,syndrome_yang_deficiency,syndrome_damp_heat,syndrome_wind,syndrome_phlegm,syndrome_fire_toxin,syndrome_qi_stagnation,disease_respiratory,disease_digestive,disease_cardiovascular,disease_gynecology,disease_rheumatology,disease_dermatology,disease_pediatrics,disease_urology,total_weight,avg_dose,max_dose,min_dose,dose_std,dose_range,max_min_ratio,log_total_weight,kg_herb_form_丸剂,kg_herb_form_片剂,kg_herb_form_胶囊剂,kg_herb_form_颗粒剂,kg_herb_form_口服液,kg_herb_form_散剂,kg_herb_form_膏剂,kg_herb_form_糖浆剂,kg_herb_form_注射剂,kg_herb_form_酒剂,kg_herb_form_酊剂,kg_herb_form_栓剂,kg_herb_form_茶剂,kg_herb_form_丹剂,kg_herb_form_搽剂,kg_herb_form_洗剂,kg_herb_form_气雾剂,kg_herb_form_露剂,kg_herb_form_膜剂,kg_ind_form_丸剂,kg_ind_form_片剂,kg_ind_form_胶囊剂,kg_ind_form_颗粒剂,kg_ind_form_口服液,kg_ind_form_散剂,kg_ind_form_膏剂,kg_ind_form_糖浆剂,kg_ind_form_注射剂,kg_ind_form_酒剂,kg_ind_form_酊剂,kg_ind_form_栓剂,kg_ind_form_茶剂,kg_ind_form_丹剂,kg_ind_form_搽剂,kg_ind_form_洗剂,kg_ind_form_气雾剂,kg_ind_form_露剂,kg_ind_form_膜剂,kg_herb_form_max,kg_herb_form_entropy,kg_ind_form_max
一捻金,大黄、炒牵牛子、槟榔、人参、朱砂,消食导滞，祛痰通便。用于脾胃不和、痰食阻滞所致的积滞，症见停食停乳、腹胀便秘、痰盛喘咳。,散剂,5,0,1,1,1,0.0,0.2,0.2,0.2,1.0,0.4,0.0,0.0,0.2,0.0,0.2,0.4,0.0,0.6,0.0,0.0,0.0,0.4,0.2,0.4,0.4,0.4,0.4,0.0,0.0,0.6,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,unspecified,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,530.0,106.0,200.0,30.0,54.25863986500215,170.0,6.666666666666667,6.274762021241939,0.5380537023309447,0.1271556434121297,0.1198267578178623,0.0662589572522856,0.0469112923152952,0.0672712297174862,0.0185185185185185,0.0089668615984405,0.0,0.0,0.0037037037037037,0.0,0.0,0.0033333333333333,0.0,0.0,0.0,0.0,0.0,0.5294117647058824,0.0588235294117647,0.0,0.1176470588235294,0.1176470588235294,0.0588235294117647,0.0,0.0,0.0,0.0,0.0,0.0,0.0588235294117647,0.0588235294117647,0.0,0.0,0.0,0.0,0.0,0.5380537023309447,1.5107799332132603,0.5294117647058824
一捻金胶囊,大黄、炒牵牛子、槟榔、人参、朱砂,消食导滞，祛痰通便。用于脾胃不和、痰食阻滞所致的积滞，症见停食停乳、腹胀便秘、痰盛喘咳。,胶囊剂,5,0,1,1,1,0.0,0.2,0.2,0.2,1.0,0.4,0.0,0.0,0.2,0.0,0.2,0.4,0.0,0.6,0.0,0.0,0.0,0.4,0.2,0.4,0.4,0.4,0.4,0.0,0.0,0.6,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,unspecified,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,300.0,60.0,113.2,17.0,30.704787900260765,96.2,6.658823529411765,5.707110264748875,0.5380537023309447,0.1271556434121297,0.1198267578178623,0.0662589572522856,0.0469112923152952,0.0672712297174862,0.0185185185185185,0.0089668615984405,0.0,0.0,0.0037037037037037,0.0,0.0,0.0033333333333333,0.0,0.0,0.0,0.0,0.0,0.5294117647058824,0.0588235294117647,0.0,0.1176470588235294,0.1176470588235294,0.0588235294117647,0.0,0.0,0.0,0.0,0.0,0.0,0.0588235294117647,0.0588235294117647,0.0,0.0,0.0,0.0,0.0,0.5380537023309447,1.5107799332132603,0.5294117647058824
一清胶囊,黄连、大黄、黄芩,清热泻火解毒，化瘀凉血止血。用于火毒血热所致的身热烦躁、目赤口疮、咽喉牙龈肿痛、大便秘结、吐血、咯血、衄血、痔血；咽炎、扁桃体炎、牙龈炎见上述证候者。,胶囊剂,3,0,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,1.0,0.3333333333333333,0.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,1.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,unspecified,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,3660.0,1220.0,2000.0,660.0,568.7413002997644,1340.0,3.0303030303030303,8.205491613120236,0.32008717787065,0.1910411066934663,0.1809895524394776,0.1175096346460856,0.0730326510275261,0.0351134973172128,0.0402446313187291,0.0181309859934673,0.0014947683109118,0.0,0.0061728395061728,0.0044843049327354,0.0,0.0034013605442176,0.0034013605442176,0.0048961288551294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32008717787065,1.882645155044652,0.0
一清颗粒,黄连、大黄、黄芩,清热泻火解毒，化瘀凉血止血。用于火毒血热所致的身热烦躁、目赤口疮、咽喉牙龈肿痛、大便秘结、吐血、咯血、衄血、痔血；咽炎、扁桃体炎、牙龈炎见上述证候者。,颗粒剂,3,0,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,1.0,0.3333333333333333,0.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,1.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,unspecified,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,915.0,305.0,500.0,165.0,142.1853250749411,335.0,3.0303030303030303,6.82001636467413,0.32008717787065,0.1910411066934663,0.1809895524394776,0.1175096346460856,0.0730326510275261,0.0351134973172128,0.0402446313187291,0.0181309859934673,0.0014947683109118,0.0,0.0061728395061728,0.0044843049327354,0.0,0.0034013605442176,0.0034013605442176,0.0048961288551294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32008717787065,1.882645155044652,0.0
乙肝宁颗粒,黄芪、白花蛇舌草、茵陈、金钱草、党参、蒲公英、制何首乌、牡丹皮、丹参、茯苓、白芍、白术、川楝子,补气健脾，活血化瘀，清热解毒。用于慢性肝炎属脾气虚弱、血瘀阻络、湿热毒蕴证，症见胁痛、腹胀、乏力、尿黄；对急性肝炎属上述证候者亦有一定疗效。,颗粒剂,13,1,0,0,0,0.0769230769230769,0.0,0.0,0.0,1.0,0.2307692307692307,0.0,0.1538461538461538,0.0769230769230769,0.0,0.1538461538461538,0.6153846153846154,0.0769230769230769,0.6153846153846154,0.0769230769230769,0.0769230769230769,0.0769230769230769,0.3076923076923077,0.6153846153846154,0.4615384615384615,0.2307692307692307,0.3076923076923077,0.3076923076923077,0.1538461538461538,0.1538461538461538,0.0769230769230769,0.1538461538461538,0.0,0.0,0.0,0.2307692307692307,0.0769230769230769,0.0,0.0,0.0,acute,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,5946.0,457.38461538461536,606.0,408.0,71.72333432287245,198.0,1.4852941176470589,8.690642169706594,0.2207688289769224,0.2220240802954587,0.1948218688394331,0.2325566001179551,0.0711069530943344,0.0076996784072489,0.01807257845748,0.0188818028832649,0.0040485829959514,0.0038728902734475,0.0003052503052503,0.0018761726078799,0.0019790240154981,0.0,0.0015384615384615,0.0,0.0004472271914132,0.0,0.0,0.0958083832335329,0.3233532934131736,0.1497005988023952,0.0898203592814371,0.0179640718562874,0.0239520958083832,0.1017964071856287,0.0239520958083832,0.0538922155688622,0.0179640718562874,0.0239520958083832,0.0119760479041916,0.0059880239520958,0.0179640718562874,0.0359281437125748,0.0,0.0059880239520958,0.0,0.0,0.2325566001179551,1.7822474236690284,0.3233532934131736
乙肝养阴活血颗粒,地黄、北沙参、麦冬、酒女贞子、五味子、黄芪、当归、制何首乌、白芍、阿胶珠、泽兰、牡蛎、橘红、丹参、川楝子、黄精（蒸）,滋补肝肾，活血化瘀。用于肝肾阴虚型慢性肝炎，症见面色晦暗、头晕耳鸣、五心烦热、腰腿酸软、齿鼻衄血、胁下痞块、赤缕红斑、舌质红少苔、脉沉弦、细涩。,颗粒剂,16,1,0,1,0,0.1875,0.0,0.0625,0.0,0.9375,0.125,0.0625,0.0625,0.1875,0.0,0.1875,0.5,0.125,0.5,0.0625,0.0,0.0625,0.375,0.625,0.375,0.375,0.375,0.125,0.0625,0.0625,0.0,0.0625,0.0,0.0,0.0625,0.0625,0.0,0.1875,0.0,0.0,chronic,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1283.33,80.208125,111.11,55.56,18.209600908157626,55.55,1.999820014398848,7.157992460574457,0.2609485052060211,0.2192705190975455,0.1827542780485541,0.2004214266452984,0.0725829256273121,0.0150169241471301,0.0149056455637225,0.0135159608507552,0.0,0.0166687658105732,0.0002224199288256,0.0,0.0007135443694862,0.0,0.0022346150507768,0.0,0.0007444696539988,0.0,0.0,0.1318681318681318,0.3021978021978022,0.1538461538461538,0.0879120879120879,0.0274725274725274,0.0274725274725274,0.0934065934065934,0.0164835164835164,0.0494505494505494,0.0164835164835164,0.0219780219780219,0.0109890109890109,0.0054945054945054,0.0164835164835164,0.0329670329670329,0.0,0.0054945054945054,0.0,0.0,0.2609485052060211,1.784642854152804,0.3021978021978022
乙肝益气解郁颗粒,柴胡（醋炙）、枳壳、白芍、橘叶、丹参、黄芪、党参、桂枝、茯苓、刺五加、瓜蒌、法半夏、黄连、决明子、山楂、五味子,益气化湿，疏肝解郁。用于肝郁脾虚型慢性肝炎，症见胁痛腹胀、痞满纳呆、身倦乏力、大便溏薄、舌质淡暗、舌体肿或有齿痕、舌苔薄白或白腻、脉沉弦或沉缓。,颗粒剂,16,1,0,0,0,0.1875,0.0,0.0,0.0,0.9375,0.125,0.0,0.125,0.25,0.0,0.3125,0.5,0.25,0.375,0.0625,0.0625,0.0,0.375,0.375,0.5625,0.5,0.1875,0.3125,0.125,0.0,0.1875,0.0625,0.0,0.0,0.0,0.125,0.0625,0.0,0.0,0.0,chronic,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1243.75,77.734375,125.0,31.25,24.10191070453492,93.75,4.0,7.126689985522292,0.2533648225148052,0.2250199789494135,0.1736647188421647,0.2174655505052448,0.0879884985542038,0.0100222868918307,0.0100556389243618,0.0113192345422465,0.0,0.0055247788907084,0.0029654071773636,0.0,0.0003324468085106,0.0006377551020408,0.0006377551020408,0.0006377551020408,0.0003633720930232,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2533648225148052,1.741863717244731,0.5
二十七味定坤丸,西洋参、白术、茯苓、熟地黄、当归、白芍、川芎、黄芪、阿胶、醋五味子、鹿茸（去毛）、肉桂、艾叶（炒炭）、杜仲（炒炭）、续断、佛手、陈皮、姜厚朴、柴胡、醋香附、醋延胡索、牡丹皮、琥珀、醋龟甲、地黄、麦冬、黄芩,补气养血，舒郁调经，用于冲任虚损，气血两亏，身体瘦弱，月经不调，经期紊乱，行经腹痛，崩漏不止，腰酸腿软。,丸剂,27,1,0,1,1,0.2962962962962963,0.0,0.074074074074074,0.1111111111111111,1.0,0.074074074074074,0.037037037037037,0.1481481481481481,0.4074074074074074,0.0,0.4444444444444444,0.5185185185185185,0.1111111111111111,0.4444444444444444,0.074074074074074,0.037037037037037,0.0,0.3703703703703703,0.7037037037037037,0.4814814814814814,0.4074074074074074,0.4814814814814814,0.1481481481481481,0.1111111111111111,0.037037037037037,0.074074074074074,0.037037037037037,0.037037037037037,0.037037037037037,0.1111111111111111,0.1111111111111111,0.1851851851851851,0.074074074074074,0.0,0.037037037037037,unspecified,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,600.0,22.22222222222222,60.0,6.0,12.19997976116516,54.0,10.0,6.398594934535208,0.3497983648572621,0.1318803580652868,0.1572466002357586,0.1853062827051276,0.0665446739575536,0.0185972318230781,0.0686707278800617,0.0111060385162271,0.000166085367879,0.0027646377893738,0.0022516804110319,0.0004982561036372,0.0013433080600566,0.0009578544061302,0.0021566940599232,0.0004853701699225,0.0002258355916892,0.0,0.0,0.6129032258064516,0.064516129032258,0.032258064516129,0.0,0.0,0.0,0.2258064516129032,0.032258064516129,0.0,0.0,0.0,0.0,0.0,0.032258064516129,0.0,0.0,0.0,0.0,0.0,0.3497983648572621,1.7958456999704162,0.6129032258064516
二十五味松石丸,松石、珍珠、珊瑚、朱砂、诃子肉、铁屑（诃子制）、余甘子、五灵脂膏、檀香、降香、木香马兜铃、鸭嘴花、牛黄、木香、绿绒蒿、船形乌头、肉豆蔻、丁香、伞梗虎耳草、毛诃子（去核）、天竺黄、西红花、木棉花、麝香、石灰华,清热解毒，疏肝利胆，化瘀。用于肝郁气滞，血瘀，肝中毒，肝痛，肝硬化，肝渗水及各种急、慢性肝炎和胆囊炎。,丸剂,25,1,1,1,1,0.16,0.04,0.08,0.2,0.56,0.08,0.12,0.08,0.24,0.0,0.24,0.32,0.04,0.04,0.04,0.04,0.08,0.28,0.2,0.24,0.16,0.04,0.24,0.04,0.0,0.12,0.0,0.04,0.0,0.12,0.0,0.0,0.0,0.0,0.0,chronic,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,905.25,36.21,100.0,0.25,21.536907856050277,99.75,400.0,6.809315206168884,0.5803428312458967,0.0427338672558225,0.0722771971193678,0.0712070542915613,0.0107668231611893,0.192881515336362,0.0175380649912547,0.0004694835680751,0.0,0.0004694835680751,0.0014084507042253,0.0026666666666666,0.0,0.0052777777777777,0.0019607843137254,0.0,0.0,0.0,0.0,0.5833333333333334,0.1666666666666666,0.0833333333333333,0.1666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5803428312458967,1.3378182123694211,0.5833333333333334
二十五味珊瑚丸,珊瑚、珍珠、青金石、珍珠母、诃子、木香、红花、丁香、沉香、朱砂、龙骨、炉甘石、脑石、磁石、禹粮土、芝麻、葫芦、紫菀花、獐牙菜、藏菖蒲、榜那、打箭菊、甘草、西红花、人工麝香,开窍，通络，止痛。用于“白脉病”，神志不清，身体麻木，头昏目眩，脑部疼痛，血压不调，头痛，癫痫及各种神经性疼痛。,丸剂,25,1,1,1,1,0.12,0.04,0.24,0.12,0.6,0.12,0.0,0.24,0.16,0.0,0.2,0.28,0.04,0.16,0.12,0.04,0.08,0.36,0.28,0.24,0.16,0.2,0.2,0.04,0.0,0.08,0.0,0.04,0.0,0.24,0.0,0.0,0.0,0.0,0.0,unspecified,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1142.0,45.68,100.0,2.0,24.52544800814044,98.0,50.0,7.04141166379481,0.4560991167101586,0.0675116672592543,0.1155621671342287,0.0769405689083363,0.0150149551312232,0.1099435037643429,0.0743682484049804,0.0045699062978208,0.0,0.0079266047424351,0.0036097839029641,0.0632773109243697,0.0001594133588394,0.0009803921568627,0.0034475791175207,0.0001594133588394,0.0004293688278231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4560991167101586,1.7761666223313803,0.0
