drug_name,herb_list,indication_text,form,num_herbs,has_volatile,has_toxic,has_mineral,has_precious,volatile_ratio,toxic_ratio,mineral_ratio,precious_ratio,known_ratio,nature_寒_ratio,nature_凉_ratio,nature_平_ratio,nature_温_ratio,nature_热_ratio,taste_辛_ratio,taste_甘_ratio,taste_酸_ratio,taste_苦_ratio,taste_咸_ratio,taste_淡_ratio,taste_涩_ratio,meridian_心_ratio,meridian_肝_ratio,meridian_脾_ratio,meridian_肺_ratio,meridian_肾_ratio,meridian_胃_ratio,meridian_胆_ratio,meridian_小肠_ratio,meridian_大肠_ratio,meridian_膀胱_ratio,meridian_三焦_ratio,meridian_心包_ratio,texture_hard_ratio,texture_starchy_ratio,texture_fibrous_ratio,texture_mucilaginous_ratio,texture_oily_ratio,texture_gelatinous_ratio,urgency,is_topical,syndrome_blood_stasis,syndrome_qi_deficiency,syndrome_blood_deficiency,syndrome_yin_deficiency,syndrome_yang_deficiency,syndrome_damp_heat,syndrome_wind,syndrome_phlegm,syndrome_fire_toxin,syndrome_qi_stagnation,disease_respiratory,disease_digestive,disease_cardiovascular,disease_gynecology,disease_rheumatology,disease_dermatology,disease_pediatrics,disease_urology,total_weight,avg_dose,max_dose,min_dose,dose_std,dose_range,max_min_ratio,log_total_weight,kg_herb_form_丸剂,kg_herb_form_片剂,kg_herb_form_胶囊剂,kg_herb_form_颗粒剂,kg_herb_form_口服液,kg_herb_form_散剂,kg_herb_form_膏剂,kg_herb_form_糖浆剂,kg_herb_form_注射剂,kg_herb_form_酒剂,kg_herb_form_酊剂,kg_herb_form_栓剂,kg_herb_form_茶剂,kg_herb_form_丹剂,kg_herb_form_搽剂,kg_herb_form_洗剂,kg_herb_form_气雾剂,kg_herb_form_露剂,kg_herb_form_膜剂,kg_ind_form_丸剂,kg_ind_form_片剂,kg_ind_form_胶囊剂,kg_ind_form_颗粒剂,kg_ind_form_口服液,kg_ind_form_散剂,kg_ind_form_膏剂,kg_ind_form_糖浆剂,kg_ind_form_注射剂,kg_ind_form_酒剂,kg_ind_form_酊剂,kg_ind_form_栓剂,kg_ind_form_茶剂,kg_ind_form_丹剂,kg_ind_form_搽剂,kg_ind_form_洗剂,kg_ind_form_气雾剂,kg_ind_form_露剂,kg_ind_form_膜剂,kg_herb_form_max,kg_herb_form_entropy,kg_ind_form_max
一捻金,大黄、炒牵牛子、槟榔、人参、朱砂,消食导滞，祛痰通便。用于脾胃不和、痰食阻滞所致的积滞，症见停食停乳、腹胀便秘、痰盛喘咳。,散剂,5,0,1,1,1,0.0,0.2,0.2,0.2,1.0,0.4,0.0,0.0,0.2,0.0,0.2,0.4,0.0,0.6,0.0,0.0,0.0,0.4,0.2,0.4,0.4,0.4,0.4,0.0,0.0,0.6,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,unspecified,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,530.0,106.0,200.0,30.0,54.258639865002145,170.0,6.666666666666667,6.274762021241939,0.5380537023309447,0.1271556434121297,0.11982675781786234,0.06625895725228564,0.04691129231529527,0.0672712297174862,0.018518518518518517,0.008966861598440545,0.0,0.0,0.0037037037037037034,0.0,0.0,0.003333333333333333,0.0,0.0,0.0,0.0,0.0,0.5294117647058824,0.058823529411764705,0.0,0.11764705882352941,0.11764705882352941,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.5380537023309447,1.5107799332132605,0.5294117647058824
一捻金胶囊,大黄、炒牵牛子、槟榔、人参、朱砂,消食导滞，祛痰通便。用于脾胃不和、痰食阻滞所致的积滞，症见停食停乳、腹胀便秘、痰盛喘咳。,胶囊剂,5,0,1,1,1,0.0,0.2,0.2,0.2,1.0,0.4,0.0,0.0,0.2,0.0,0.2,0.4,0.0,0.6,0.0,0.0,0.0,0.4,0.2,0.4,0.4,0.4,0.4,0.0,0.0,0.6,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,unspecified,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,300.0,60.0,113.2,17.0,30.704787900260765,96.2,6.658823529411765,5.707110264748875,0.5380537023309447,0.1271556434121297,0.11982675781786234,0.06625895725228564,0.04691129231529527,0.0672712297174862,0.018518518518518517,0.008966861598440545,0.0,0.0,0.0037037037037037034,0.0,0.0,0.003333333333333333,0.0,0.0,0.0,0.0,0.0,0.5294117647058824,0.058823529411764705,0.0,0.11764705882352941,0.11764705882352941,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.5380537023309447,1.5107799332132605,0.5294117647058824
一清胶囊,黄连、大黄、黄芩,清热泻火解毒，化瘀凉血止血。用于火毒血热所致的身热烦躁、目赤口疮、咽喉牙龈肿痛、大便秘结、吐血、咯血、衄血、痔血；咽炎、扁桃体炎、牙龈炎见上述证候者。,胶囊剂,3,0,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,1.0,0.3333333333333333,0.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,1.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,unspecified,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,3660.0,1220.0,2000.0,660.0,568.7413002997644,1340.0,3.0303030303030303,8.205491613120236,0.32008717787065,0.1910411066934663,0.18098955243947767,0.11750963464608565,0.07303265102752611,0.03511349731721288,0.040244631318729115,0.018130985993467307,0.0014947683109118087,0.0,0.006172839506172839,0.004484304932735426,0.0,0.003401360544217687,0.003401360544217687,0.0048961288551294955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32008717787065,1.8826451550446521,0.0
一清颗粒,黄连、大黄、黄芩,清热泻火解毒，化瘀凉血止血。用于火毒血热所致的身热烦躁、目赤口疮、咽喉牙龈肿痛、大便秘结、吐血、咯血、衄血、痔血；咽炎、扁桃体炎、牙龈炎见上述证候者。,颗粒剂,3,0,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,1.0,0.3333333333333333,0.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,1.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,unspecified,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,915.0,305.0,500.0,165.0,142.1853250749411,335.0,3.0303030303030303,6.82001636467413,0.32008717787065,0.1910411066934663,0.18098955243947767,0.11750963464608565,0.07303265102752611,0.03511349731721288,0.040244631318729115,0.018130985993467307,0.0014947683109118087,0.0,0.006172839506172839,0.004484304932735426,0.0,0.003401360544217687,0.003401360544217687,0.0048961288551294955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32008717787065,1.8826451550446521,0.0
乙肝宁颗粒,黄芪、白花蛇舌草、茵陈、金钱草、党参、蒲公英、制何首乌、牡丹皮、丹参、茯苓、白芍、白术、川楝子,补气健脾，活血化瘀，清热解毒。用于慢性肝炎属脾气虚弱、血瘀阻络、湿热毒蕴证，症见胁痛、腹胀、乏力、尿黄；对急性肝炎属上述证候者亦有一定疗效。,颗粒剂,13,1,0,0,0,0.07692307692307693,0.0,0.0,0.0,1.0,0.23076923076923078,0.0,0.15384615384615385,0.07692307692307693,0.0,0.15384615384615385,0.6153846153846154,0.07692307692307693,0.6153846153846154,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.3076923076923077,0.6153846153846154,0.46153846153846156,0.23076923076923078,0.3076923076923077,0.3076923076923077,0.15384615384615385,0.15384615384615385,0.07692307692307693,0.15384615384615385,0.0,0.0,0.0,0.23076923076923078,0.07692307692307693,0.0,0.0,0.0,acute,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,5946.0,457.38461538461536,606.0,408.0,71.72333432287245,198.0,1.4852941176470589,8.690642169706594,0.22076882897692243,0.2220240802954587,0.19482186883943312,0.23255660011795515,0.07110695309433447,0.007699678407248917,0.01807257845748008,0.018881802883264926,0.004048582995951417,0.00387289027344753,0.00030525030525030525,0.001876172607879925,0.0019790240154981794,0.0,0.0015384615384615385,0.0,0.0004472271914132379,0.0,0.0,0.09580838323353294,0.32335329341317365,0.1497005988023952,0.08982035928143713,0.017964071856287425,0.023952095808383235,0.10179640718562874,0.023952095808383235,0.05389221556886228,0.017964071856287425,0.023952095808383235,0.011976047904191617,0.005988023952095809,0.017964071856287425,0.03592814371257485,0.0,0.005988023952095809,0.0,0.0,0.23255660011795515,1.7822474236690284,0.32335329341317365
乙肝养阴活血颗粒,地黄、北沙参、麦冬、酒女贞子、五味子、黄芪、当归、制何首乌、白芍、阿胶珠、泽兰、牡蛎、橘红、丹参、川楝子、黄精（蒸）,滋补肝肾，活血化瘀。用于肝肾阴虚型慢性肝炎，症见面色晦暗、头晕耳鸣、五心烦热、腰腿酸软、齿鼻衄血、胁下痞块、赤缕红斑、舌质红少苔、脉沉弦、细涩。,颗粒剂,16,1,0,1,0,0.1875,0.0,0.0625,0.0,0.9375,0.125,0.0625,0.0625,0.1875,0.0,0.1875,0.5,0.125,0.5,0.0625,0.0,0.0625,0.375,0.625,0.375,0.375,0.375,0.125,0.0625,0.0625,0.0,0.0625,0.0,0.0,0.0625,0.0625,0.0,0.1875,0.0,0.0,chronic,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1283.33,80.208125,111.11,55.56,18.209600908157626,55.55,1.999820014398848,7.157992460574457,0.2609485052060211,0.2192705190975455,0.1827542780485541,0.20042142664529844,0.07258292562731211,0.01501692414713016,0.014905645563722527,0.013515960850755255,0.0,0.016668765810573253,0.00022241992882562276,0.0,0.000713544369486248,0.0,0.0022346150507768425,0.0,0.0007444696539988656,0.0,0.0,0.13186813186813187,0.3021978021978022,0.15384615384615385,0.08791208791208792,0.027472527472527472,0.027472527472527472,0.09340659340659341,0.016483516483516484,0.04945054945054945,0.016483516483516484,0.02197802197802198,0.01098901098901099,0.005494505494505495,0.016483516483516484,0.03296703296703297,0.0,0.005494505494505495,0.0,0.0,0.2609485052060211,1.7846428541528039,0.3021978021978022
乙肝益气解郁颗粒,柴胡（醋炙）、枳壳、白芍、橘叶、丹参、黄芪、党参、桂枝、茯苓、刺五加、瓜蒌、法半夏、黄连、决明子、山楂、五味子,益气化湿，疏肝解郁。用于肝郁脾虚型慢性肝炎，症见胁痛腹胀、痞满纳呆、身倦乏力、大便溏薄、舌质淡暗、舌体肿或有齿痕、舌苔薄白或白腻、脉沉弦或沉缓。,颗粒剂,16,1,0,0,0,0.1875,0.0,0.0,0.0,0.9375,0.125,0.0,0.125,0.25,0.0,0.3125,0.5,0.25,0.375,0.0625,0.0625,0.0,0.375,0.375,0.5625,0.5,0.1875,0.3125,0.125,0.0,0.1875,0.0625,0.0,0.0,0.0,0.125,0.0625,0.0,0.0,0.0,chronic,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1243.75,77.734375,125.0,31.25,24.10191070453492,93.75,4.0,7.126689985522292,0.2533648225148052,0.22501997894941358,0.17366471884216478,0.21746555050524485,0.08798849855420385,0.010022286891830788,0.010055638924361815,0.011319234542246589,0.0,0.005524778890708484,0.002965407177363699,0.0,0.0003324468085106383,0.0006377551020408163,0.0006377551020408163,0.0006377551020408163,0.0003633720930232558,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2533648225148052,1.7418637172447313,0.5
二十七味定坤丸,西洋参、白术、茯苓、熟地黄、当归、白芍、川芎、黄芪、阿胶、醋五味子、鹿茸（去毛）、肉桂、艾叶（炒炭）、杜仲（炒炭）、续断、佛手、陈皮、姜厚朴、柴胡、醋香附、醋延胡索、牡丹皮、琥珀、醋龟甲、地黄、麦冬、黄芩,补气养血，舒郁调经，用于冲任虚损，气血两亏，身体瘦弱，月经不调，经期紊乱，行经腹痛，崩漏不止，腰酸腿软。,丸剂,27,1,0,1,1,0.2962962962962963,0.0,0.07407407407407407,0.1111111111111111,1.0,0.07407407407407407,0.037037037037037035,0.14814814814814814,0.4074074074074074,0.0,0.4444444444444444,0.5185185185185185,0.1111111111111111,0.4444444444444444,0.07407407407407407,0.037037037037037035,0.0,0.37037037037037035,0.7037037037037037,0.48148148148148145,0.4074074074074074,0.48148148148148145,0.14814814814814814,0.1111111111111111,0.037037037037037035,0.07407407407407407,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.1111111111111111,0.1111111111111111,0.18518518518518517,0.07407407407407407,0.0,0.037037037037037035,unspecified,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,600.0,22.22222222222222,60.0,6.0,12.19997976116516,54.0,10.0,6.398594934535208,0.3497983648572621,0.13188035806528686,0.1572466002357586,0.1853062827051276,0.06654467395755367,0.01859723182307817,0.0686707278800617,0.011106038516227126,0.00016608536787908985,0.0027646377893738557,0.0022516804110319336,0.0004982561036372695,0.0013433080600566865,0.0009578544061302681,0.0021566940599232844,0.0004853701699225125,0.00022583559168925024,0.0,0.0,0.6129032258064516,0.06451612903225806,0.03225806451612903,0.0,0.0,0.0,0.22580645161290322,0.03225806451612903,0.0,0.0,0.0,0.0,0.0,0.03225806451612903,0.0,0.0,0.0,0.0,0.0,0.3497983648572621,1.7958456999704162,0.6129032258064516
二十五味松石丸,松石、珍珠、珊瑚、朱砂、诃子肉、铁屑（诃子制）、余甘子、五灵脂膏、檀香、降香、木香马兜铃、鸭嘴花、牛黄、木香、绿绒蒿、船形乌头、肉豆蔻、丁香、伞梗虎耳草、毛诃子（去核）、天竺黄、西红花、木棉花、麝香、石灰华,清热解毒，疏肝利胆，化瘀。用于肝郁气滞，血瘀，肝中毒，肝痛，肝硬化，肝渗水及各种急、慢性肝炎和胆囊炎。,丸剂,25,1,1,1,1,0.16,0.04,0.08,0.2,0.56,0.08,0.12,0.08,0.24,0.0,0.24,0.32,0.04,0.04,0.04,0.04,0.08,0.28,0.2,0.24,0.16,0.04,0.24,0.04,0.0,0.12,0.0,0.04,0.0,0.12,0.0,0.0,0.0,0.0,0.0,chronic,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,905.25,36.21,100.0,0.25,21.536907856050274,99.75,400.0,6.809315206168884,0.5803428312458967,0.04273386725582252,0.0722771971193678,0.07120705429156132,0.010766823161189357,0.19288151533636202,0.017538064991254716,0.00046948356807511736,0.0,0.00046948356807511736,0.0014084507042253522,0.0026666666666666666,0.0,0.005277777777777778,0.00196078431372549,0.0,0.0,0.0,0.0,0.5833333333333334,0.16666666666666666,0.08333333333333333,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5803428312458967,1.3378182123694213,0.5833333333333334
二十五味珊瑚丸,珊瑚、珍珠、青金石、珍珠母、诃子、木香、红花、丁香、沉香、朱砂、龙骨、炉甘石、脑石、磁石、禹粮土、芝麻、葫芦、紫菀花、獐牙菜、藏菖蒲、榜那、打箭菊、甘草、西红花、人工麝香,开窍，通络，止痛。用于“白脉病”，神志不清，身体麻木，头昏目眩，脑部疼痛，血压不调，头痛，癫痫及各种神经性疼痛。,丸剂,25,1,1,1,1,0.12,0.04,0.24,0.12,0.6,0.12,0.0,0.24,0.16,0.0,0.2,0.28,0.04,0.16,0.12,0.04,0.08,0.36,0.28,0.24,0.16,0.2,0.2,0.04,0.0,0.08,0.0,0.04,0.0,0.24,0.0,0.0,0.0,0.0,0.0,unspecified,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1142.0,45.68,100.0,2.0,24.52544800814044,98.0,50.0,7.04141166379481,0.4560991167101586,0.06751166725925432,0.11556216713422873,0.0769405689083363,0.015014955131223225,0.10994350376434292,0.0743682484049804,0.0045699062978208325,0.0,0.00792660474243516,0.0036097839029641953,0.06327731092436974,0.00015941335883947074,0.000980392156862745,0.0034475791175207736,0.00015941335883947074,0.0004293688278231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4560991167101586,1.7761666223313803,0.0
