drug_name,form,indication,prescription_raw,method
乙肝扶正胶囊,胶囊剂,补肝肾，益气活血。用于乙型肝炎，辨证属于肝肾两虚证候，临床表现为：肝区隐痛不适，全身乏力，腰膝酸软，气短心悸，自汗，头晕，纳少，舌淡，脉弱,何首乌15g、虎杖25g、贯众50g、肉桂5g、明矾10g、石榴皮6g、当归10g、丹参15g、沙苑子10g、人参10g、麻黄6g,以上十一味，当归、肉桂、丹参、明矾粉碎为细粉，其余何首乌等 6 味，加水煎煮 2 次，第一次 3 小时，第二次 2 小时，合并煎液，滤过，滤液浓缩成稠膏，加入上述粉末，混匀，于 70～80℃干燥，粉碎成细粉，过筛，装胶囊，即得
乙肝解毒胶囊,胶囊剂,清热解毒，疏肝利胆。用于乙型肝炎，辨证属于肝胆湿热内蕴者。临床表现为：肝区热痛，全身乏力，口苦咽干，头晕耳鸣或面红耳赤，心烦易怒，大便干结，小便少而黄，舌苔黄腻，脉滑数或弦数,黄柏10g、草河车10g、黄芩10g、大黄10g、胡黄连10g、土茯苓15g、黑矾10g、贯众50g,以上八味，土茯苓、黑矾粉碎成细粉，其余黄柏等六味，加水煎煮两次，第一次 3 小时，第二次 2 小时，合并煎液，滤过，滤液浓缩成稠膏，加入上述粉末，混匀，于 80℃干燥，粉碎成细粉，过筛，装胶囊，即得
二母宁嗽丸,丸剂,清肺润燥，化痰止咳。用于燥热蕴肺，痰黄而粘不易咳出，胸闷气促，久咳不止，声哑喉痛,川贝母225g、知母225g、石膏300g、栀子(炒)180g、黄芩180g、桑白皮(蜜炙)150g、茯苓150g、瓜萎子(炒)150g、陈皮150g、枳实(麸炒)150g、甘草(蜜炙)30g、五味子(蒸)30g,以上十二味，粉碎成细粉，过筛，混匀。每 100g 粉末加炼蜜 115～135g 制成大蜜丸，即得
二益丸,丸剂,调经止带，温暖子宫。用于经脉不调，行经腹痛，瘀血痨症，下元虚寒，腰膝酸痛，赤白带下,肉豆蔻(煨)100g、山奈100g、砂仁(盐水炒)100g、海螵蛸100g、附子(黑顺片)100g、橘红100g、蛇床子(盐水炒)100g、木香100g、甘草(蜜制)100g、白芷500g、龙骨(煅)100g、肉桂150g、吴茱萸(盐水炒)100g、当归(酒浸)300g、花椒(微炒)100g、丁香50g、细辛100g、母丁香50g、檀香100g、豆蔻50g、枯矾100g、朱砂100g,以上二十二味，除朱砂外，其余二十一味粉碎成细粉，过筛，混匀。朱砂水飞或粉碎成极细粉与上述粉末配研，过筛。每 100g 药粉加炼蜜 120～130g，制成蜜丸，即得
十二温经丸,丸剂,温经散寒，养血祛瘀。用于冲任虚寒，瘀血阻滞，月经不调，或先或后、或多或少，小腹冷痛以及宫寒不孕,吴茱萸90g、当归60g、川芎(酒制)60g、白芍60g、阿胶珠60g、肉桂60g、牡丹皮60g、生姜15g、党参60g、半夏(制)90g、麦冬120g、甘草(蜜炙)60g,以上十二味，粉碎成细粉，过筛，混匀。每 100g 粉末加炼蜜 50g 与适量的水，泛丸，低温干燥，即得
十珍香附丸,丸剂,补气养血，和营调经。用于血虚气滞，月经不调,香附(醋炒)215g、艾叶(炭)40g、党参30g、甘草(蜜炙)20g、当归60g、川芎60g、白芍(炒)60g、熟地黄60g、黄芪(蜜炙)60g、白术(麸炒)60g,以上十味，粉碎成细粉，过筛，混匀。每 100g 粉末加炼蜜 105～120g，制成大蜜丸，即得
丁蔻理中丸,丸剂,温中散寒，补脾健胃。用于脾胃虚寒，脘腹挛痛，呕吐泄泻，消化不良,丁香 100g 豆蔻 100g 党参 300g 白术(炒) 300g 干姜 300g 甘草(蜜炙) 300g,以上六味，粉碎成细粉，过筛，混匀，用水泛丸，干燥，即得
七宝美髯丸,丸剂,补肝肾，益精血。用于肝肾两虚，须发早白，牙齿摇动，遗精盗汗，腰酸带下，筋骨痿弱，腰腿酸软，带下清稀,制何首乌 512g 当归 128g 补骨脂（盐水炙） 64g 构杞子 128g 菟丝子 128g 茯苓 128g 牛膝 128g,以上七味，粉碎成细粉，过筛，混匀。每 100g 粉末加炼蜜 100～120g，制成大蜜丸，即得
七味都气丸,丸剂,补肾纳气，涩精止遗。用于虚不能纳气之喘促，或久咳而咽干气短，遗精盗汗，小便频数,五味子(制) 150g 山茱萸(制) 200g 茯苓 150g 牡丹皮 150g 熟地黄 400g 山药 200g 泽泻 150g,以上七味，粉碎成细粉，过筛，混匀。每 100g 粉末加炼蜜 30g 与适量的水，泛丸，干燥，即得
人参固本丸,丸剂,滋阴益气，固本培元。用于阴虚气弱，虚劳，咳嗽，心悸气短，骨蒸潮热，腰酸耳鸣，遗精盗汗，大便干燥,人参75g、地黄150g、熟地黄150g、山茱萸(酒炙)150g、山药300g、泽泻150g、牡丹皮150g、茯苓150g、麦冬150g、天冬150g,以上十味，粉碎成细粉，过筛，混匀。每 100g 粉末加炼蜜 80～100g，制成大蜜丸，即得
人参健脾丸,丸剂,健脾益气，消食和胃。用于脾胃虚弱，消化不良，食欲不振，脘胀呕恶，腹痛便溏，小儿疳积,人参25g、白术(麸炒)50g、甘草25g、山药75g、莲子50g、白扁豆50g、木香18.8g、草豆蔻25g、陈皮50g、青皮(醋炙)50g、六神曲(麸炒)50g、谷芽(炒)50g、山楂(炒)50g、芡实(麸炒)50g、薏苡仁(麸炒)100g、当归50g、枳壳(麸炒)25g,以上十七味，粉碎成细粉，过筛，混匀。每 100g 粉末加炼蜜 110～130g，制成大蜜丸，即得
儿童清肺丸,丸剂,清肺，化痰，止嗽。用于小儿肺经痰热，外感风寒引起的面赤身热，咳嗽气促，痰多粘稠，咽痛声哑,麻黄10g、苦杏仁(炒)20g、石膏40g、甘草10g、桑白皮(蜜炙)30g、瓜萎皮30g、黄芩40g、板蓝根40g、橘红30g、法半夏30g、紫苏子(炒)20g、葶苈子10g、浙贝母40g、紫苏叶20g、细辛8g、薄荷30g、枇杷叶(蜜炙)40g、白前30g、前胡20g、石菖蒲30g、天花粉30g、青磁石(煅)10g,以上二十二味，粉碎成细粉，过筛，混匀。每 100g 药粉末加炼蜜 170～180g，制成蜜丸，即得
儿童清热导滞丸,丸剂,健胃导滞，消积化虫。用于小儿蓄乳宿食引起：胸膈满闷，积聚痞块，虫积腹痛，面黄肌瘦，消化不良，燥烦口渴，不思饮食,鸡内金(醋制)120g、莪术(醋制)90g、厚朴(姜制)90g、枳实90g、山楂(焦)60g、青皮(醋制)90g、半夏(制)60g、六神曲(焦)60g、麦芽(焦)60g、槟榔(焦)120g、栀子90g、使君子(仁)120g、胡黄连60g、苦栋皮90g、知母120g、青蒿60g、黄芩(酒制)120g、薄荷60g、钩藤90g、车前子(盐制)120g,以上二十味，粉碎成细粉，过筛，混匀。每 100g 粉末加炼蜜 115～125g，制成大蜜丸，即得
三黄膏,膏剂,清热解毒，消肿止痛。用于痈疡肿毒，红热掀痛，烫火烧伤,黄柏 300g 栀子 150g 黄芩 300g 黄连 120g,以上四味，碎断，与食用植物油 4800g 同置锅内炸枯，去渣，滤过，油液炼至滴水成珠。另取红丹 180g，加入油内，搅匀，再加蜂蜡 600g 与松香 150g 熔化，搅匀，即得
三蛇药酒,酒剂,祛风除湿，通经活络。用于风寒湿痹，手足麻木，筋骨疼痛，腰膝无力等症,乌梢蛇（鲜，去头、内脏及皮）1000g、银环蛇（鲜，去头、内脏及皮）500g、眼镜蛇（鲜，去头、内脏及皮）500g、大血藤 75g、杜仲 100g、山木通 50g、草乌（制）50g、威灵仙 200g、川乌（制）50g、南沙参100g、陈皮50g、寻风骨100g、独活100g、川木香50g、牛膝 50g、香加皮 100g、当归100g、石南藤 100g、黄精（制）200g、南蛇藤 200g、乌药50g、石菖蒲100g、白芷50g、伸筋草140g、川穹50g、桑寄生50g、桂枝 100g、锁阳 150g、甘草 80g、大枣200g,以上三十味，将三种蛇置容器内，加白酒 10kg，密封，浸泡半年以上，每月搅拌一次。其余大血藤等二十七味碎断，加白酒 10kg，密封，浸泡一个月以上，上述二浸液分别滤过，合并滤液。另取蔗糖、蜂蜜各 3.5kg，红糖 2kg 制成糖浆，待温，加入滤液内，搅匀，静置，滤过，再加白酒适量，制成约 50kg，即得
万灵筋骨膏,膏剂,散风活血、舒筋定痛。用于风寒湿邪，伤于筋骨，关节疼痛，四肢麻木，行动艰难,生川乌35g、生草乌35g、独活27g、羌活24g、麻黄27g、防风24g、当归51g、莪术35g、三棱35g、香附24g、土鳖虫24g、木鳖子35g、蓖麻子35g、大黄24g、五倍子24g、牵牛子24g、红大戟27g、芫花24g、甘遂24g、巴豆27g、猪牙皂27g、柳枝543g、肉桂120g,以上二十三味，除肉桂粉碎成细粉外，生川乌等二十二味，酌予碎断，用芝麻油 7300g 同置锅内炸枯，去渣，滤过，油液炼至滴水成珠。每 150g 炼油加入红丹 500g，收膏，将膏浸泡于水中。取膏 8000g 用文火熔化，将肉桂粉加入搅匀，分摊于布上，即得
口腔溃疡散,散剂,消溃止痛。用于复发性口腔溃疡，疱疹性口腔溃疡,青黛 240g 白矾 240g 冰片 24g,以上三味，分别研成细粉，过筛，混匀，即得
