drug_name,form,indication
一捻金,散剂,消食导滞，祛痰通便。用于脾胃不和、痰食阻滞所致的积滞，症见停食停乳、腹胀便秘、痰盛喘咳。
一捻金胶囊,胶囊剂,消食导滞，祛痰通便。用于脾胃不和、痰食阻滞所致的积滞，症见停食停乳、腹胀便秘、痰盛喘咳。
一清胶囊,胶囊剂,清热泻火解毒，化瘀凉血止血。用于火毒血热所致的身热烦躁、目赤口疮、咽喉牙龈肿痛、大便秘结、吐血、咯血、衄血、痔血；咽炎、扁桃体炎、牙龈炎见上述证候者。
一清颗粒,颗粒剂,清热泻火解毒，化瘀凉血止血。用于火毒血热所致的身热烦躁、目赤口疮、咽喉牙龈肿痛、大便秘结、吐血、咯血、衄血、痔血；咽炎、扁桃体炎、牙龈炎见上述证候者。
乙肝宁颗粒,颗粒剂,补气健脾，活血化瘀，清热解毒。用于慢性肝炎属脾气虚弱、血瘀阻络、湿热毒蕴证，症见胁痛、腹胀、乏力、尿黄；对急性肝炎属上述证候者亦有一定疗效。
乙肝养阴活血颗粒,颗粒剂,滋补肝肾，活血化瘀。用于肝肾阴虚型慢性肝炎，症见面色晦暗、头晕耳鸣、五心烦热、腰腿酸软、齿鼻衄血、胁下痞块、赤缕红斑、舌质红少苔、脉沉弦、细涩。
乙肝益气解郁颗粒,颗粒剂,益气化湿，疏肝解郁。用于肝郁脾虚型慢性肝炎，症见胁痛腹胀、痞满纳呆、身倦乏力、大便溏薄、舌质淡暗、舌体肿或有齿痕、舌苔薄白或白腻、脉沉弦或沉缓。
二十七味定坤丸,丸剂,补气养血，舒郁调经，用于冲任虚损，气血两亏，身体瘦弱，月经不调，经期紊乱，行经腹痛，崩漏不止，腰酸腿软。
二十五味松石丸,丸剂,清热解毒，疏肝利胆，化瘀。用于肝郁气滞，血瘀，肝中毒，肝痛，肝硬化，肝渗水及各种急、慢性肝炎和胆囊炎。
二十五味珊瑚丸,丸剂,开窍，通络，止痛。用于“白脉病”，神志不清，身体麻木，头昏目眩，脑部疼痛，血压不调，头痛，癫痫及各种神经性疼痛。
二丁颗粒,颗粒剂,清热解毒。用于火热毒盛所致的热疖痈毒、咽喉肿痛、风热火眼。
二冬膏,膏剂,养阴润肺。用于肺阴不足引起的燥咳痰少、痰中带血、鼻干咽痛。
二母宁嗽丸,丸剂,清肺润燥，化痰止咳。用于燥热蕴肺所致的咳嗽、痰黄而黏不易咳出、胸闷气促、久咳不止、声哑喉痛。
二母安嗽丸,丸剂,清肺化痰，止嗽定喘。用于虚劳久嗽，咳嗽痰喘，骨蒸潮热，音哑声重，口燥舌干，痰涎壅盛。
二至丸,丸剂,补益肝肾，滋阴止血。用于肝肾阴虚，眩晕耳鸣，咽干鼻燥，腰膝酸痛，月经量多。
